x,1,2,3
0.00000,1.00000,1.00000,1.00000
0.00100,0.99900,1.00000,1.00000
0.00200,0.99800,1.00000,1.00000
0.00300,0.99700,1.00000,1.00000
0.00400,0.99599,0.99999,1.00000
0.00500,0.99499,0.99999,1.00000
0.00600,0.99400,0.99998,1.00000
0.00700,0.99300,0.99998,1.00000
0.00800,0.99201,0.99997,1.00000
0.00900,0.99103,0.99996,1.00000
0.01000,0.99002,0.99995,1.00000
0.01100,0.98899,0.99994,1.00000
0.01200,0.98800,0.99993,1.00000
0.01300,0.98699,0.99992,1.00000
0.01400,0.98600,0.99990,1.00000
0.01501,0.98500,0.99989,1.00000
0.01601,0.98401,0.99987,1.00000
0.01701,0.98300,0.99985,1.00000
0.01801,0.98200,0.99984,1.00000
0.01901,0.98101,0.99982,1.00000
0.02001,0.98000,0.99980,1.00000
0.02101,0.97901,0.99978,1.00000
0.02201,0.97799,0.99976,1.00000
0.02301,0.97698,0.99973,1.00000
0.02401,0.97598,0.99971,1.00000
0.02501,0.97496,0.99969,1.00000
0.02601,0.97396,0.99966,1.00000
0.02701,0.97296,0.99963,1.00000
0.02801,0.97197,0.99960,1.00000
0.02901,0.97096,0.99957,1.00000
0.03001,0.96997,0.99954,0.99999
0.03101,0.96897,0.99951,0.99999
0.03201,0.96799,0.99948,0.99999
0.03301,0.96698,0.99945,0.99999
0.03401,0.96598,0.99941,0.99999
0.03501,0.96497,0.99938,0.99999
0.03601,0.96398,0.99934,0.99999
0.03701,0.96300,0.99930,0.99999
0.03801,0.96200,0.99927,0.99999
0.03901,0.96101,0.99923,0.99999
0.04001,0.96001,0.99919,0.99999
0.04101,0.95901,0.99915,0.99999
0.04201,0.95799,0.99912,0.99999
0.04301,0.95700,0.99908,0.99999
0.04401,0.95600,0.99903,0.99999
0.04502,0.95499,0.99898,0.99999
0.04602,0.95399,0.99894,0.99998
0.04702,0.95300,0.99889,0.99998
0.04802,0.95200,0.99884,0.99998
0.04902,0.95102,0.99879,0.99998
0.05002,0.95001,0.99874,0.99998
0.05102,0.94901,0.99869,0.99998
0.05202,0.94799,0.99864,0.99998
0.05302,0.94699,0.99859,0.99997
0.05402,0.94599,0.99854,0.99997
0.05502,0.94498,0.99849,0.99997
0.05602,0.94399,0.99843,0.99997
0.05702,0.94299,0.99837,0.99997
0.05802,0.94197,0.99831,0.99997
0.05902,0.94097,0.99825,0.99996
0.06002,0.93997,0.99819,0.99996
0.06102,0.93896,0.99813,0.99996
0.06202,0.93795,0.99806,0.99996
0.06302,0.93694,0.99799,0.99996
0.06402,0.93595,0.99793,0.99995
0.06502,0.93495,0.99786,0.99995
0.06602,0.93396,0.99780,0.99995
0.06702,0.93295,0.99773,0.99995
0.06802,0.93195,0.99767,0.99994
0.06902,0.93096,0.99760,0.99994
0.07002,0.92996,0.99753,0.99994
0.07102,0.92896,0.99746,0.99994
0.07202,0.92795,0.99739,0.99993
0.07302,0.92696,0.99732,0.99993
0.07402,0.92595,0.99724,0.99993
0.07503,0.92495,0.99717,0.99993
0.07603,0.92396,0.99710,0.99992
0.07703,0.92295,0.99702,0.99992
0.07803,0.92193,0.99694,0.99992
0.07903,0.92092,0.99687,0.99991
0.08003,0.91993,0.99679,0.99991
0.08103,0.91894,0.99671,0.99991
0.08203,0.91796,0.99663,0.99990
0.08303,0.91696,0.99654,0.99990
0.08403,0.91595,0.99646,0.99990
0.08503,0.91495,0.99637,0.99989
0.08603,0.91396,0.99629,0.99989
0.08703,0.91295,0.99620,0.99988
0.08803,0.91195,0.99612,0.99988
0.08903,0.91094,0.99603,0.99988
0.09003,0.90994,0.99593,0.99987
0.09103,0.90895,0.99585,0.99987
0.09203,0.90796,0.99575,0.99986
0.09303,0.90696,0.99566,0.99986
0.09403,0.90593,0.99557,0.99986
0.09503,0.90493,0.99547,0.99985
0.09603,0.90393,0.99537,0.99985
0.09703,0.90295,0.99527,0.99984
0.09803,0.90196,0.99517,0.99984
0.09903,0.90097,0.99508,0.99983
0.10003,0.89997,0.99498,0.99983
0.10103,0.89898,0.99488,0.99982
0.10203,0.89797,0.99478,0.99982
0.10303,0.89697,0.99467,0.99981
0.10403,0.89598,0.99457,0.99981
0.10504,0.89499,0.99446,0.99980
0.10604,0.89400,0.99436,0.99980
0.10704,0.89298,0.99425,0.99979
0.10804,0.89196,0.99415,0.99979
0.10904,0.89097,0.99404,0.99978
0.11004,0.89000,0.99393,0.99977
0.11104,0.88901,0.99381,0.99977
0.11204,0.88799,0.99370,0.99976
0.11304,0.88702,0.99360,0.99975
0.11404,0.88603,0.99348,0.99975
0.11504,0.88502,0.99336,0.99974
0.11604,0.88402,0.99325,0.99973
0.11704,0.88302,0.99313,0.99973
0.11804,0.88201,0.99300,0.99972
0.11904,0.88102,0.99288,0.99971
0.12004,0.88003,0.99276,0.99971
0.12104,0.87902,0.99265,0.99970
0.12204,0.87801,0.99252,0.99969
0.12304,0.87701,0.99240,0.99968
0.12404,0.87603,0.99228,0.99968
0.12504,0.87502,0.99216,0.99967
0.12604,0.87402,0.99203,0.99966
0.12704,0.87302,0.99190,0.99965
0.12804,0.87203,0.99177,0.99964
0.12904,0.87103,0.99164,0.99963
0.13004,0.87001,0.99151,0.99963
0.13104,0.86903,0.99138,0.99962
0.13204,0.86803,0.99125,0.99961
0.13304,0.86703,0.99112,0.99960
0.13404,0.86603,0.99099,0.99959
0.13505,0.86502,0.99086,0.99958
0.13605,0.86401,0.99072,0.99957
0.13705,0.86300,0.99058,0.99956
0.13805,0.86200,0.99045,0.99955
0.13905,0.86101,0.99030,0.99954
0.14005,0.86002,0.99016,0.99953
0.14105,0.85900,0.99002,0.99952
0.14205,0.85798,0.98988,0.99951
0.14305,0.85699,0.98974,0.99950
0.14405,0.85598,0.98961,0.99949
0.14505,0.85499,0.98946,0.99948
0.14605,0.85397,0.98932,0.99947
0.14705,0.85295,0.98918,0.99946
0.14805,0.85195,0.98903,0.99945
0.14905,0.85096,0.98888,0.99944
0.15005,0.84998,0.98873,0.99943
0.15105,0.84899,0.98857,0.99942
0.15205,0.84798,0.98842,0.99941
0.15305,0.84698,0.98827,0.99940
0.15405,0.84596,0.98812,0.99939
0.15505,0.84495,0.98796,0.99938
0.15605,0.84396,0.98780,0.99936
0.15705,0.84296,0.98764,0.99935
0.15805,0.84195,0.98749,0.99934
0.15905,0.84095,0.98732,0.99933
0.16005,0.83994,0.98716,0.99931
0.16105,0.83894,0.98700,0.99930
0.16205,0.83793,0.98684,0.99928
0.16305,0.83692,0.98668,0.99927
0.16405,0.83591,0.98652,0.99926
0.16506,0.83492,0.98636,0.99924
0.16606,0.83393,0.98620,0.99923
0.16706,0.83294,0.98603,0.99921
0.16806,0.83194,0.98586,0.99920
0.16906,0.83095,0.98569,0.99918
0.17006,0.82997,0.98553,0.99917
0.17106,0.82896,0.98536,0.99915
0.17206,0.82797,0.98519,0.99914
0.17306,0.82698,0.98500,0.99912
0.17406,0.82598,0.98484,0.99911
0.17506,0.82495,0.98467,0.99909
0.17606,0.82394,0.98449,0.99908
0.17706,0.82294,0.98431,0.99906
0.17806,0.82195,0.98414,0.99905
0.17906,0.82095,0.98395,0.99903
0.18006,0.81996,0.98377,0.99901
0.18106,0.81896,0.98360,0.99900
0.18206,0.81795,0.98341,0.99898
