player,country,color,date,rating
tourist,BY,#ffd166,2018-01-01,3407
tourist,BY,#ffd166,2018-01-15,3366
tourist,BY,#ffd166,2018-01-29,3368
tourist,BY,#ffd166,2018-02-12,3376
tourist,BY,#ffd166,2018-02-26,3395
tourist,BY,#ffd166,2018-03-12,3414
tourist,BY,#ffd166,2018-03-26,3412
tourist,BY,#ffd166,2018-04-09,3428
tourist,BY,#ffd166,2018-04-23,3438
tourist,BY,#ffd166,2018-05-07,3438
tourist,BY,#ffd166,2018-05-21,3431
tourist,BY,#ffd166,2018-06-04,3433
tourist,BY,#ffd166,2018-06-18,3458
tourist,BY,#ffd166,2018-07-02,3495
tourist,BY,#ffd166,2018-07-16,3509
tourist,BY,#ffd166,2018-07-30,3522
tourist,BY,#ffd166,2018-08-13,3519
tourist,BY,#ffd166,2018-08-27,3520
tourist,BY,#ffd166,2018-09-10,3501
tourist,BY,#ffd166,2018-09-24,3506
tourist,BY,#ffd166,2018-10-08,3517
tourist,BY,#ffd166,2018-10-22,3551
tourist,BY,#ffd166,2018-11-05,3574
tourist,BY,#ffd166,2018-11-19,3590
tourist,BY,#ffd166,2018-12-03,3601
tourist,BY,#ffd166,2018-12-17,3599
tourist,BY,#ffd166,2018-12-31,3593
tourist,BY,#ffd166,2019-01-14,3580
tourist,BY,#ffd166,2019-01-28,3571
tourist,BY,#ffd166,2019-02-11,3599
tourist,BY,#ffd166,2019-02-25,3623
tourist,BY,#ffd166,2019-03-11,3655
tourist,BY,#ffd166,2019-03-25,3630
tourist,BY,#ffd166,2019-04-08,3609
tourist,BY,#ffd166,2019-04-22,3601
tourist,BY,#ffd166,2019-05-06,3630
tourist,BY,#ffd166,2019-05-20,3634
tourist,BY,#ffd166,2019-06-03,3623
tourist,BY,#ffd166,2019-06-17,3606
tourist,BY,#ffd166,2019-07-01,3607
tourist,BY,#ffd166,2019-07-15,3607
tourist,BY,#ffd166,2019-07-29,3615
tourist,BY,#ffd166,2019-08-12,3649
tourist,BY,#ffd166,2019-08-26,3678
tourist,BY,#ffd166,2019-09-09,3670
tourist,BY,#ffd166,2019-09-23,3632
tourist,BY,#ffd166,2019-10-07,3607
tourist,BY,#ffd166,2019-10-21,3613
tourist,BY,#ffd166,2019-11-04,3618
tourist,BY,#ffd166,2019-11-18,3615
tourist,BY,#ffd166,2019-12-02,3618
tourist,BY,#ffd166,2019-12-16,3626
tourist,BY,#ffd166,2019-12-30,3644
tourist,BY,#ffd166,2020-01-13,3625
tourist,BY,#ffd166,2020-01-27,3601
tourist,BY,#ffd166,2020-02-10,3566
tourist,BY,#ffd166,2020-02-24,3568
tourist,BY,#ffd166,2020-03-09,3564
tourist,BY,#ffd166,2020-03-23,3567
tourist,BY,#ffd166,2020-04-06,3547
tourist,BY,#ffd166,2020-04-20,3545
tourist,BY,#ffd166,2020-05-04,3529
tourist,BY,#ffd166,2020-05-18,3559
tourist,BY,#ffd166,2020-06-01,3582
tourist,BY,#ffd166,2020-06-15,3613
tourist,BY,#ffd166,2020-06-29,3602
tourist,BY,#ffd166,2020-07-13,3589
tourist,BY,#ffd166,2020-07-27,3580
tourist,BY,#ffd166,2020-08-10,3580
tourist,BY,#ffd166,2020-08-24,3577
tourist,BY,#ffd166,2020-09-07,3566
tourist,BY,#ffd166,2020-09-21,3564
tourist,BY,#ffd166,2020-10-05,3574
tourist,BY,#ffd166,2020-10-19,3607
tourist,BY,#ffd166,2020-11-02,3628
tourist,BY,#ffd166,2020-11-16,3647
tourist,BY,#ffd166,2020-11-30,3650
tourist,BY,#ffd166,2020-12-14,3645
tourist,BY,#ffd166,2020-12-28,3661
tourist,BY,#ffd166,2021-01-11,3680
tourist,BY,#ffd166,2021-01-25,3710
tourist,BY,#ffd166,2021-02-08,3721
tourist,BY,#ffd166,2021-02-22,3717
tourist,BY,#ffd166,2021-03-08,3720
tourist,BY,#ffd166,2021-03-22,3710
tourist,BY,#ffd166,2021-04-05,3719
tourist,BY,#ffd166,2021-04-19,3725
tourist,BY,#ffd166,2021-05-03,3747
tourist,BY,#ffd166,2021-05-17,3754
tourist,BY,#ffd166,2021-05-31,3771
tourist,BY,#ffd166,2021-06-14,3761
tourist,BY,#ffd166,2021-06-28,3756
