date,event,winner,mvp
2017-07-23,PGL Major Kraków 2017,Gambit,
2018-01-28,ELEAGUE Major Boston 2018,Cloud9,
2018-09-23,FACEIT Major London 2018,Astralis,dev1ce
2019-03-03,IEM Katowice Major 2019,Astralis,Magisk
2019-09-08,StarLadder Major Berlin 2019,Astralis,dev1ce
2021-11-07,PGL Major Stockholm 2021,NAVI,s1mple
2022-05-22,PGL Major Antwerp 2022,FaZe,
2022-11-13,IEM Rio Major 2022,VP,
2023-05-21,BLAST.tv Major Paris 2023,Vitality,ZywOo
2024-03-31,PGL Major Copenhagen 2024,NAVI,jL
2024-12-15,Perfect World Major Shanghai 2024,Spirit,donk
2025-06-22,BLAST.tv Major Austin 2025,Vitality,ZywOo
2025-12-14,StarLadder Major Budapest 2025,Vitality,ZywOo
2026-06-21,IEM Cologne Major 2026,Falcons,m0NESY
