player,team,color,date,rating
ZywOo,Vitality,#ffd166,2018-11-15,1.1335
ZywOo,Vitality,#ffd166,2018-11-22,1.1333
ZywOo,Vitality,#ffd166,2018-11-29,1.1456
ZywOo,Vitality,#ffd166,2018-12-06,1.1556
ZywOo,Vitality,#ffd166,2018-12-13,1.1627
ZywOo,Vitality,#ffd166,2018-12-20,1.1562
ZywOo,Vitality,#ffd166,2018-12-27,1.1562
ZywOo,Vitality,#ffd166,2019-01-03,1.1560
ZywOo,Vitality,#ffd166,2019-01-10,1.1793
ZywOo,Vitality,#ffd166,2019-01-17,1.1884
ZywOo,Vitality,#ffd166,2019-01-24,1.1967
ZywOo,Vitality,#ffd166,2019-01-31,1.2035
ZywOo,Vitality,#ffd166,2019-02-07,1.2061
ZywOo,Vitality,#ffd166,2019-02-14,1.2261
ZywOo,Vitality,#ffd166,2019-02-21,1.2552
ZywOo,Vitality,#ffd166,2019-02-28,1.2544
ZywOo,Vitality,#ffd166,2019-03-07,1.2608
ZywOo,Vitality,#ffd166,2019-03-14,1.2792
ZywOo,Vitality,#ffd166,2019-03-21,1.2989
ZywOo,Vitality,#ffd166,2019-03-28,1.2971
ZywOo,Vitality,#ffd166,2019-04-04,1.2998
ZywOo,Vitality,#ffd166,2019-04-11,1.2945
ZywOo,Vitality,#ffd166,2019-04-18,1.3022
ZywOo,Vitality,#ffd166,2019-04-25,1.2994
ZywOo,Vitality,#ffd166,2019-05-02,1.3024
ZywOo,Vitality,#ffd166,2019-05-09,1.3275
ZywOo,Vitality,#ffd166,2019-05-16,1.3348
ZywOo,Vitality,#ffd166,2019-05-23,1.3290
ZywOo,Vitality,#ffd166,2019-05-30,1.3302
ZywOo,Vitality,#ffd166,2019-06-06,1.3416
ZywOo,Vitality,#ffd166,2019-06-13,1.3272
ZywOo,Vitality,#ffd166,2019-06-20,1.3205
ZywOo,Vitality,#ffd166,2019-06-27,1.3240
ZywOo,Vitality,#ffd166,2019-07-04,1.3135
ZywOo,Vitality,#ffd166,2019-07-11,1.3120
ZywOo,Vitality,#ffd166,2019-07-18,1.3077
ZywOo,Vitality,#ffd166,2019-07-25,1.3232
ZywOo,Vitality,#ffd166,2019-08-01,1.3277
ZywOo,Vitality,#ffd166,2019-08-08,1.3214
ZywOo,Vitality,#ffd166,2019-08-15,1.3231
ZywOo,Vitality,#ffd166,2019-08-22,1.3180
ZywOo,Vitality,#ffd166,2019-08-29,1.3107
ZywOo,Vitality,#ffd166,2019-09-05,1.3095
ZywOo,Vitality,#ffd166,2019-09-12,1.3093
ZywOo,Vitality,#ffd166,2019-09-19,1.3235
ZywOo,Vitality,#ffd166,2019-09-26,1.3302
ZywOo,Vitality,#ffd166,2019-10-03,1.3328
ZywOo,Vitality,#ffd166,2019-10-10,1.3437
ZywOo,Vitality,#ffd166,2019-10-17,1.3515
ZywOo,Vitality,#ffd166,2019-10-24,1.3452
ZywOo,Vitality,#ffd166,2019-10-31,1.3441
ZywOo,Vitality,#ffd166,2019-11-07,1.3329
ZywOo,Vitality,#ffd166,2019-11-14,1.3274
ZywOo,Vitality,#ffd166,2019-11-21,1.3246
ZywOo,Vitality,#ffd166,2019-11-28,1.3421
ZywOo,Vitality,#ffd166,2019-12-05,1.3321
ZywOo,Vitality,#ffd166,2019-12-12,1.3327
ZywOo,Vitality,#ffd166,2019-12-19,1.3189
ZywOo,Vitality,#ffd166,2019-12-26,1.3111
ZywOo,Vitality,#ffd166,2020-01-02,1.3175
ZywOo,Vitality,#ffd166,2020-01-09,1.3046
ZywOo,Vitality,#ffd166,2020-01-16,1.2933
