player,color,mode,datetime,code,difficulty
Amog,#ffd166,pr,2023-06-18T05:52:41,ToAST,1.25
Lintahlo,#9b5de5,line,2023-06-18T05:52:41,-,1.0
Amog,#ffd166,pr,2023-06-18T06:00:56,ToA,1.5
Amog,#ffd166,pr,2023-06-18T06:06:49,ToM,2.12
Lintahlo,#9b5de5,line,2023-09-16T05:52:41,-,-1.0
Amog,#ffd166,pr,2023-09-30T17:46:12,ToZD,1.15
Amog,#ffd166,pr,2023-09-30T17:56:29,ToPHaT,1.55
Amog,#ffd166,pr,2023-09-30T18:05:40,ToAD,2.65
Eggnote,#ff5ca8,pr,2024-09-27T20:39:37,ToAST,1.25
Eggnote,#ff5ca8,pr,2024-09-28T21:18:39,ToA,1.5
Amog,#ffd166,pr,2024-10-18T12:17:45,SoMD,1.22
Amog,#ffd166,pr,2024-10-18T12:28:48,ToJGF,1.65
Amog,#ffd166,pr,2024-10-18T22:30:42,ToH,3.3
Amog,#ffd166,pr,2024-10-18T23:02:17,ToPS,2.76
Amog,#ffd166,pr,2024-10-18T23:23:00,ToBH,3.4
Amog,#ffd166,pr,2024-10-19T00:11:34,ToHS,3.48
Amog,#ffd166,pr,2024-10-21T15:34:51,ToVR,2.68
Amog,#ffd166,pr,2024-10-21T15:52:39,ToSA,2.98
Amog,#ffd166,pr,2024-10-21T16:35:43,ToGLA,3.57
Amog,#ffd166,pr,2024-10-21T17:03:14,SoMM,1.76
Amog,#ffd166,pr,2024-10-21T17:54:34,SoSIS,4.03
Amog,#ffd166,pr,2024-10-22T00:20:16,ToK,3.47
Amog,#ffd166,pr,2024-10-22T00:38:15,SoP,2.86
Amog,#ffd166,pr,2024-10-24T16:50:54,ToFT,1.7
Amog,#ffd166,pr,2024-10-24T17:04:27,ToIC,2.09
Amog,#ffd166,pr,2024-10-24T21:13:56,ToP,3.26
Amog,#ffd166,pr,2024-10-24T23:21:47,ToMH,3.91
Amog,#ffd166,pr,2024-10-25T17:59:33,ToDS,2.83
Amog,#ffd166,pr,2024-10-25T18:28:33,ToAT,2.62
Amog,#ffd166,pr,2024-10-26T01:12:02,ToOH,3.73
Amog,#ffd166,pr,2024-10-26T01:35:16,SoBJ,1.11
Amog,#ffd166,pr,2024-10-26T01:41:06,SoDS,1.54
Amog,#ffd166,pr,2024-10-26T01:48:03,SoIF,2.32
Amog,#ffd166,pr,2024-10-27T01:44:47,ToF,3.54
Amog,#ffd166,pr,2024-10-27T02:45:38,ToWER,3.55
Amog,#ffd166,pr,2024-10-27T13:40:04,SoO,2.67
Amog,#ffd166,pr,2024-10-27T14:57:15,ToUD,4.21
Amog,#ffd166,pr,2024-10-27T15:14:25,ToSFU,1.05
Amog,#ffd166,pr,2024-10-27T15:37:34,ToOD,1.99
Amog,#ffd166,pr,2024-10-27T19:42:39,ToBB,2.07
Amog,#ffd166,pr,2024-10-28T00:58:27,ToTA,4.05
Amog,#ffd166,pr,2024-10-28T02:11:43,ToDaC,4.91
Amog,#ffd166,pr,2024-10-28T15:00:43,ToCOF,2.87
Amog,#ffd166,pr,2024-10-28T21:45:49,ToKY,4.1
Amog,#ffd166,pr,2024-10-29T22:32:08,SoBT,2.39
Amog,#ffd166,pr,2024-10-29T22:49:31,SoAS,2.53
Amog,#ffd166,pr,2024-10-29T23:08:42,SoRO,3.99
Amog,#ffd166,pr,2024-10-30T14:47:09,SoAP,3.36
