player,country,color,date,rating
Trihard,NA,#ffd166,2019-01-01,7.65
Trihard,NA,#ffd166,2019-01-15,7.6
Trihard,NA,#ffd166,2019-01-29,7.59
Trihard,NA,#ffd166,2019-02-12,7.55
Trihard,NA,#ffd166,2019-02-26,7.54
Trihard,NA,#ffd166,2019-03-12,7.56
Trihard,NA,#ffd166,2019-03-26,7.63
Trihard,NA,#ffd166,2019-04-09,7.72
Trihard,NA,#ffd166,2019-04-23,7.83
Trihard,NA,#ffd166,2019-05-07,7.9
Trihard,NA,#ffd166,2019-05-21,7.95
Trihard,NA,#ffd166,2019-06-04,7.91
Trihard,NA,#ffd166,2019-06-18,7.89
Trihard,NA,#ffd166,2019-07-02,7.83
Trihard,NA,#ffd166,2019-07-16,7.78
Trihard,NA,#ffd166,2019-07-30,7.75
Trihard,NA,#ffd166,2019-08-13,7.79
Trihard,NA,#ffd166,2019-08-27,7.83
Trihard,NA,#ffd166,2019-09-10,7.83
Trihard,NA,#ffd166,2019-09-24,7.78
Trihard,NA,#ffd166,2019-10-08,7.8
Trihard,NA,#ffd166,2019-10-22,7.82
Trihard,NA,#ffd166,2019-11-05,7.84
Trihard,NA,#ffd166,2019-11-19,7.85
Trihard,NA,#ffd166,2019-12-03,7.85
Trihard,NA,#ffd166,2019-12-17,7.89
Trihard,NA,#ffd166,2019-12-31,7.9
Trihard,NA,#ffd166,2020-01-14,7.91
Trihard,NA,#ffd166,2020-01-28,7.95
Trihard,NA,#ffd166,2020-02-11,8.01
Trihard,NA,#ffd166,2020-02-25,8.12
Trihard,NA,#ffd166,2020-03-10,8.15
Trihard,NA,#ffd166,2020-03-24,8.16
Trihard,NA,#ffd166,2020-04-07,8.16
Trihard,NA,#ffd166,2020-04-21,8.17
Trihard,NA,#ffd166,2020-05-05,8.22
Trihard,NA,#ffd166,2020-05-19,8.18
Trihard,NA,#ffd166,2020-06-02,8.19
Trihard,NA,#ffd166,2020-06-16,8.15
Trihard,NA,#ffd166,2020-06-30,8.14
Trihard,NA,#ffd166,2020-07-14,8.14
Trihard,NA,#ffd166,2020-07-28,8.22
Trihard,NA,#ffd166,2020-08-11,8.28
Trihard,NA,#ffd166,2020-08-25,8.3
Trihard,NA,#ffd166,2020-09-08,8.3
Trihard,NA,#ffd166,2020-09-22,8.31
Trihard,NA,#ffd166,2020-10-06,8.28
Trihard,NA,#ffd166,2020-10-20,8.29
Trihard,NA,#ffd166,2020-11-03,8.32
Trihard,NA,#ffd166,2020-11-17,8.42
Trihard,NA,#ffd166,2020-12-01,8.46
Trihard,NA,#ffd166,2020-12-15,8.54
Trihard,NA,#ffd166,2020-12-29,8.59
Trihard,NA,#ffd166,2021-01-12,8.58
Trihard,NA,#ffd166,2021-01-26,8.54
Trihard,NA,#ffd166,2021-02-09,8.5
Trihard,NA,#ffd166,2021-02-23,8.52
Trihard,NA,#ffd166,2021-03-09,8.51
Trihard,NA,#ffd166,2021-03-23,8.46
Trihard,NA,#ffd166,2021-04-06,8.46
Trihard,NA,#ffd166,2021-04-20,8.5
Trihard,NA,#ffd166,2021-05-04,8.58
Trihard,NA,#ffd166,2021-05-18,8.64
Trihard,NA,#ffd166,2021-06-01,8.68
Trihard,NA,#ffd166,2021-06-15,8.73
Trihard,NA,#ffd166,2021-06-29,8.71
Trihard,NA,#ffd166,2021-07-13,8.73
Trihard,NA,#ffd166,2021-07-27,8.68
Trihard,NA,#ffd166,2021-08-10,8.68
Trihard,NA,#ffd166,2021-08-24,8.68
